ID;Наименование;Описание;Фото;Производитель;Артикул;"Диаметр, мм";"Длина режущей части ножа, мм";"Общая длина, мм";"Диаметр хвостовика, мм";"Градус резки, °";"Количество зубьев, шт.";"Обрабатываемый материал";"Частота вращения, об/мин";Стоимость;Наличие
6767;"D=38.4x25.4x70 S=8 Набор фрез для сращивания ""Угол""ARDEN 336821/337821";;https://tooldirect.ru/upload/iblock/e69/e69738747700f926c54674d958c5d6f5.jpg;ARDEN;336821/337821;38.5;27.4;70;8;90;2;"МДФ,Фанера,Мягкая древесина,Твёрдая древесина,Пластик";18000;6790.00;"от 20";"Фрезы для сращивания V образные"
5091;"D=10x10x45 S=8 ARDEN арт.209830 Фреза для обработки фасадов (МДФ, пластик, ЛДСП, дерево) радиусного типа (псевдофилёнка ) R5=5 Z=2";;https://tooldirect.ru/upload/iblock/431/431b00071ccf10ad868050088ca6aa5d.png;ARDEN;209830;10;10;45;8;;;;;1540.00;"ожидается поступление";"Фрезы радиусные псевдофилёнка"
4882;"D=16x12x44 S=8 ARDEN арт.108856 Фреза (обработка дерева, пластика, ЛДСП, МДФ) пазовый тип для врезания петель для фрезера ручного";;https://tooldirect.ru/upload/iblock/bc1/bc113aa81f5c79f26fec5d67822ad812.jpg;ARDEN;108856;16;12;44;8;;;;;1090.00;"от 20";"Фрезы для петель и замков";"Фрезы для петель"
4995;"D=16x15x60 S=8 ARDEN арт.152817B Фреза (по дереву, МДФ, ЛДСП, пластикам) обгонная кромочная (верх. подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/a3d/a3d2f6e6539d279e063041fcb1d96f46.png;ARDEN;152817B;16;15;58;8;;2;"МДФ,Фанера,Мягкая древесина,Текстолит,Ламинат,Твёрдая древесина,Пластик,Композит";;1670.00;"от 10 до 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4884;"D=16x19x60 S=8 ARDEN арт.109807B Фреза (работы по материалу: дерево, МДФ, ЛДСП, пластик) для выборки паза для петель для ручного фрезера";;https://tooldirect.ru/upload/iblock/7d7/7d749c97895d0e121835ea8be6981904.jpg;ARDEN;109807B;16;19;60;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1560.00;"от 20";"Фрезы для петель и замков";"Фрезы для петель";"Фрезы для петель с подшипником"
4933;"D=16x20x52 S=8 ARDEN арт.110871 Фреза (подходящие материалы: МДФ, ЛДСП, дерево, пластик) форма прямая пазовый тип для фрезера ручного";;https://tooldirect.ru/upload/iblock/690/6901dea8fd725bd5bdafe0b8853c1309.jpg;ARDEN;110871;16;20;52;8;;;;;1180.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4996;"D=16x20x64 S=6 ARDEN арт.152621B Фреза (материалы для работы: МДФ, дерево, ЛДСП, пластика) обгонного типа кромочная (верхний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/e5e/e5e911e2928b46444716ec1825648681.jpg;ARDEN;152621B;16;20;64;6;;;;;1870.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4997;"D=16x20x64 S=8 ARDEN арт.152821B Фреза (для обработки дерева, ЛДСП, МДФ, пластика) обгонного типа кромочная (верхний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/9a3/9a35ce61006d3e0fc35783fc11d8026a.jpg;ARDEN;152821B;16;20;64;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1790.00;"от 10 до 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4998;"D=16x25x69 S=8 ARDEN арт.152822B Фреза (работы по дереву, МДФ, ЛДСП, пластик у) кромочного типа (верхний подшипник) обгонная для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/e46/e469c467d7cdc7858b58431334a1b2be.png;ARDEN;152822B;16;25;69;8;;2;"МДФ,Фанера,Мягкая древесина,Текстолит,Ламинат,Твёрдая древесина,Пластик,Композит";;1860.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4887;"D=16x30x130 S=12 ARDEN арт.2-16130 Фреза (работы по МДФ, ЛДСП, пластику, дереву) для установки замков со стружколомом для ручного фрезера";;https://tooldirect.ru/upload/iblock/766/766da3e42848bce633d878a33c43a0b3.png;ARDEN;2-16130;16;30;130;12;;2;"МДФ,Фанера,Мягкая древесина,Твёрдая древесина";;3220.00;"ожидается поступление";"Фрезы для петель и замков";"Фрезы для врезания замков"
4858;"D=16x30x90 S=8 ARDEN арт.105854 Фреза (обрабатываемые материалы: МДФ, ЛДСП, дерево, пластик) прямой формы пазового типа для фрезера ручного с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/40e/40e77706c630a1030e5a9798cc109a5d.png;ARDEN;105854;16;30;90;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;2080.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4999;"D=16x31.7x66 S=8 ARDEN арт.152833B Фреза (обработка дерева, МДФ, пластика, ЛДСП) обгонная кромочного типа (верхний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/05e/05ea4ffd53f0162ec72ad98599ebbf2e.png;ARDEN;152833B;16;31.7;67;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1930.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4934;"D=16x32x64 S=8 ARDEN арт.110873 Фреза (работа по пластику, МДФ, ЛДСП, дереву) прямой формы типа пазового для фрезера ручного";;https://tooldirect.ru/upload/iblock/a9f/a9f064b3dbdfec0158d39dd53df7ebdb.jpg;ARDEN;110873;16;32;64;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1400.00;"до 2";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4935;"D=16x32x72 S=12 ARDEN арт.110273 Фреза (обработка МДФ, пластика, ЛДПС, дерева) прямая форма тип пазовый для ручного фрезера";;https://tooldirect.ru/upload/iblock/e9d/e9d6c5c5e4162d14672f8d2d5b7e7349.jpg;ARDEN;110273;16;32;72;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;1440.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4936;"D=16x38x70 S=8 ARDEN арт.110874 Фреза (работа по МДФ, ЛДСП, дереву, пластику) прямой формы типа пазового для фрезера ручного";;https://tooldirect.ru/upload/iblock/73f/73f99a1f8b699e7dd7e252994abbe2c4.jpg;ARDEN;110874;16;38;70;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;1490.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4859;"D=16x38x78 S=12 ARDEN арт.105255 Фреза (для работы с МДФ, ЛДСП, деревом, пластиком) прямой формы пазового типа для ручного фрезера с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/326/3261d9478d40989ef07751173d2f5b19.png;ARDEN;105255;16;38;78;12;;;;;2130.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4937;"D=16x38x94 S=12 ARDEN арт.110274L Фреза (для работы с МДФ, ЛДСП, пластиком) прямой формы пазового типа для фрезера ручного";;https://tooldirect.ru/upload/iblock/763/7631cf6cf02b2ca1ed7f2b4fc9e7674a.jpg;ARDEN;110274L;16;38;94;12;;;;;1360.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4938;"D=16x50x90 S=12 ARDEN арт.110275 Фреза (для обработки МДФ, ЛДСП, дерева, пластика) формы прямой пазового типа для фрезера ручного";;https://tooldirect.ru/upload/iblock/208/208c536ee87b708262958b62ab19c95c.jpg;ARDEN;110275;16;50;90;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";28000;1910.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4860;"D=16x60x110 S=12 ARDEN арт.105257 Фреза (обработка дерева, пластика, МДФ, ЛДСП) пазовая прямой формы для фрезера ручного с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/ab1/ab18d45197351a287c6088482487a65b.png;ARDEN;105257;16;60;110;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;3370.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4939;"D=16x90x130 S=12 ARDEN арт.110275-2 Фреза (работы с деревом, МДФ, пластиком, ЛДСП) прямой формы пазового типа для фрезера ручного";;https://tooldirect.ru/upload/iblock/97e/97e014f22dd4c1c718d4b1c01afac887.jpg;ARDEN;110275-2;16;90;130;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";12000;4230.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4861;"D=16x90x140 S=12 ARDEN арт.105257-2 Фреза (работы по пластику, дереву, ЛДСП, МДФ) прямой формы пазовая для  ручного фрезера с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/cd2/cd23737dc93e9d79e715479db763f9e1.png;ARDEN;105257-2;16;90;140;12;;2;"МДФ,Фанера,Мягкая древесина,Твёрдая древесина";;4590.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
5006;"D=17.2x9.53x53 S=8 ARDEN арт.156821 Фреза (ЛДСП, дерево, пластикам) для снятия фаски 15&ordm; (для ручного фрезера и ЧПУ станков) (нижний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/c49/c49118616ec4f15a3a0114a5925b8894.png;ARDEN;156821;17.2;9.5;53;8;15;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1320.00;"от 20";"Фрезы фасочные V образные";"Фрезы для снятия фаски"
4987;"D=18.88x50.8x110 S=12 ARDEN арт.151202C Фреза (МДФ, ЛДСП, дерево, пластик) кромочная обгонного типа с двунаправленным резом (подшипники: верхний и нижний) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/11f/11fa5fc5a41d94a18e91623d3447438c.png;ARDEN;151202C;18.8;50.8;113;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;5640.00;"от 10 до 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним и нижним подшипником";"Фрезы обгонные компрессионные"
4986;"D=18.8x31.75x82 S=8 ARDEN арт.151801C Фреза (по дереву, МДФ, ЛДСП, пластикам) обгонная кромочная двунаправленный рез (верх. + нижн. подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/01a/01aac8e7a2ea18538130b9ee0551647b.png;ARDEN;151801C;18.8;31.75;84;8;;2;"МДФ,Фанера,Мягкая древесина,Пеноблоки,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;4490.00;"от 10 до 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним и нижним подшипником";"Фрезы обгонные компрессионные"
4940;"D=18x20x52 S=8 ARDEN арт.110876 Фреза (виды материалов: пластик, дерево, МДФ, ЛДСП) прямая форма пазовый тип для ручного фрезера";;https://tooldirect.ru/upload/iblock/de6/de6ba6857089110cd8a486470173b286.jpg;ARDEN;110876;18;20;52;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1180.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4941;"D=18x30x62 S=8 ARDEN арт.110880 Фреза (виды обрабатываемых материалов: МДФ, ЛДСП, пластик, дерево) прямая форма пазовый тип для фрезера ручного";;https://tooldirect.ru/upload/iblock/b4f/b4f42b59d130c01806ad3d9bd8b3fb31.jpg;ARDEN;110880;18;30;62;8;;;;;1650.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4942;"D=18x30x69 S=12 ARDEN арт.110280 Фреза (обработка МДФ, ЛДСП, пластика, дерева) прямая форма пазовый тип для фрезера ручного";;https://tooldirect.ru/upload/iblock/64a/64a74bda1fa7e4102043ccea53bb617a.jpg;ARDEN;110280;18;30;69;12;;;;;1710.00;"до 2";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4862;"D=18x60x120 S=12 ARDEN арт.105262L Фреза (обработка пластика, МДФ, ЛДСП, дерева) пазового типа прямой формы для фрезера с врезным зубом Z2+1 (длинная серия)";;https://tooldirect.ru/upload/iblock/9d4/9d4c41cdcd6d45444edc5872b1e438f9.png;ARDEN;105262L;18;60;120;12;;;;;4290.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
5662;"D=19 B=12.7 C=5 ARDEN Подшипник для фрез для обработки деревянных объектов  706091";;https://tooldirect.ru/upload/iblock/16c/16c4bf5cea2515064a716afab6a739ac.png;ARDEN;706091;;;;;;;;;480.00;"от 20";"Подшипники для фрез"
5664;"D=19 B=6 C=6 ARDEN Подшипник для фрез для работы с деревом  706108";;https://tooldirect.ru/upload/iblock/754/7547795cbc3508f752bb2ac0972ed8f1.png;ARDEN;706108;;;;;;;;;340.00;"от 20";"Подшипники для фрез"
5683;"D=19 B=8 C=6 ARDEN Подшипник для фрезы для обработки древесных поверхностей  706109";;https://tooldirect.ru/upload/iblock/ff2/ff206d0e0cdb3034993ba7ea593e2174.png;ARDEN;706109;;;;;;;;;330.00;"от 20";"Подшипники для фрез"
5677;"D=19.05 B=4.762 С=5мм ARDEN Подшипник для фрезы по работе с древесиной  706079";;https://tooldirect.ru/upload/iblock/45b/45bbed70c3ad82a6089d91e365adf344.png;ARDEN;706079;19.05;;;;;;;;330.00;"от 20";"Подшипники для фрез"
5678;"D=19.05 B=6.35 С=7.143 ARDEN Подшипник для фрезы для обработки древесных поверхностей  706081";;https://tooldirect.ru/upload/iblock/7ae/7aec950861ea8ff1c16c468e3119dc21.png;ARDEN;706081;19.05;;;;;;;;330.00;"от 20";"Подшипники для фрез"
5037;"D=19.05x12.7x45 S=8 ARDEN арт.200838 Фреза (дерево, композитные материалы, МДФ, пластик, ЛДСП) пазового типа c углом 90&ordm; (для станков с ЧПУ и ручных фрезов)";;https://tooldirect.ru/upload/iblock/c81/c81d1fb87179e2701555f69c863cb37f.png;ARDEN;200838;19.5;12.7;45;8;90;;;;1590.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
5042;"D=19.05x12x50 S=8 ARDEN арт.200841-1 Фреза (подходящие материалы: дерево, композитные материалы, дерево, МДФ, ЛДСП) c углом 120&ordm; (для ручного фрезера и станка с ЧПУ) пазового типа";;https://tooldirect.ru/upload/iblock/447/447fbc6f8d7c9c7e3356475068d5eefe.png;ARDEN;200841-1;19;12;50;8;120;;;;2130.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
5047;"D=19.05x13.5x50 (d1=2. i1=3.53) S=8 ARDEN арт.200830A Фреза для Alucobond пазового типа (для ручных фрезера и станка с ЧПУ) 135&deg;";;https://tooldirect.ru/upload/iblock/6f2/6f20bf0d2d26ee78246bd6801919eb11.png;ARDEN;200830A;19;13.5;50;8;135;;;;2440.00;"ожидается поступление";"Фрезы фасочные V образные";"Фрезы для сгиба композитных материалов"
5036;"D=19.05x15.88x45 S=8 ARDEN арт.200841 Фреза (для обработки дерева, МДФ, ЛДСП, композитных материалов, пластика) c углом 90&ordm; (для станков с ЧПУ и ручных фрезов) пазового типа";;https://tooldirect.ru/upload/iblock/6cd/6cd7e9e669a7dfb3b578d2ccb0af6f01.png;ARDEN;200841;19.05;15.88;46;8;90;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;1650.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные";"Фрезы для гипсокартона"
5038;"D=19.05x15.88x56 S=12 ARDEN арт.200241 Фреза (пластик, МДФ, дерево, ЛДСП, композитные материалы) c углом 90&ordm; (для фрезеров ручных и станков с ЧПУ) пазовая";;https://tooldirect.ru/upload/iblock/1e7/1e736a8ba919f61607ac51de5b291d16.png;ARDEN;200241;19.05;15.88;56;12;90;;;;1760.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
5020;"D=19.05x20.64x61 (скос 19мм) S=12 ARDEN арт.202221 Фреза (дерево, композитные материалы, МДФ, ЛДСП, пластик) V-образный паз 60&ordm; (для станков с ЧПУ и фрезеров ручных)";;https://tooldirect.ru/upload/iblock/69c/69cd053e587e53ce7dc8961656d8845d.png;ARDEN;202221;19;20;61;12;60;;;;2200.00;"ожидается поступление";"Фрезы фасочные V образные";"Фрезы V образные"
4976;"D=19.05x25.4x65 S=12 ARDEN арт.151271 Фреза (пластик, МДФ, ЛДСП, дерево) кромочная (нижний подшипник) обгонного типа для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/5fa/5fa1009dfc1e39aac6cc3baff197c77b.png;ARDEN;151271;19.05;25.4;65;12;;;;;2130.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4984;"D=19.05x25.4x80 S=12 ARDEN арт.1512583B Фреза (обработка ЛДСП, пластик) обгонная кромочная  с лезвием под углом (нижний + верхний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/d10/d10a4bbff41ba14e66df930d2ae2e3f5.png;ARDEN;1512583B;19.05;25.4;80;12;;;;;1960.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним и нижним подшипником"
5003;"D=19.05x25x70 S=12 ARDEN арт.152230B Фреза (пластик, МДФ, дерево, ЛДСП) обгонная кромочная (верхний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/c28/c28c8713697f19b9fa1a4c8f7f22014a.png;ARDEN;152230B;19.5;25;70;12;;;;;2200.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4979;"D=19.05x38.1x75 S=12 ARDEN арт.1512587 Фреза (обработка МДФ, пластика, ЛДСП, дерева) обгонного типа кромочная  с лезвием под углом (нижний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/543/5436e1db0289b65e50aaa703172f6c82.png;ARDEN;1512587;19.05;38.1;75;12;;;;;1790.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные наклонное лезвие"
5000;"D=19.05x38.1x83 S=8 ARDEN арт.152835B Фреза (обработка МДФ, ЛДСП, пластика, дерева) обгонного типа кромочная (верхний полшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/de5/de56d54504edec9a827a5e249911639c.png;ARDEN;152835B;19.05;38.1;83;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";28000;2720.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4985;"D=19.05x50.8x105 S=12 ARDEN арт.1512589B Фреза (МДФ, ЛДСП, пластик, дерево) обгонного типа кромочная  с лезвием под углом (подшипники: верхний и нижний) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/054/05479d807c0a47637e2bd30b10de5e80.png;ARDEN;1512589B;19.05;50.8;118;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;3090.00;"от 10 до 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним и нижним подшипником"
5002;"D=19.05x50.8x91 S=12 ARDEN арт.152237B Фреза (МДФ, ЛДСП, пластик, дерево) обгонная кромочного типа (верхний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/252/2529e33d2c431cb1791adb9a3838c95d.png;ARDEN;152237B;19.05;50.8;92;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;2800.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
5035;"D=19.05х15.88x48 S=6 ARDEN арт.200641 Фреза (для работы с пластиком, деревом, МДФ, композитными материалами, ЛДСП) пазового типа V-образная 90&ordm; (для ручного фрезера и станка с ЧПУ)";;https://tooldirect.ru/upload/iblock/1af/1af7f5636fedf2e14967d23da14828e4.png;ARDEN;200641;19.05;15.88;48;6;90;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;1910.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
4980;"D=19.1x50.8x105 S=12 ARDEN арт.1512589 Фреза (дерево, МДФ, ЛДСП, пластик) обгонная кромочная  с угловым лезвием (нижн. подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/127/127da84fc4d1c59e1ea7795ebb3b49f8.png;ARDEN;1512589;19.1;50.8;105;12;;;;;2600.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные наклонное лезвие"
5007;"D=19.8x9.53x53 S=8 ARDEN арт.156831 Фреза (по дереву, МДФ, ЛДСП, пластикам) для снятия фаски 22&ordm; (для ручного фрезера и ЧПУ станков) (нижний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/6f7/6f738933561b14a581f5778a8cf5a9cc.png;ARDEN;156831;19.8;9.5;53;8;22;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1320.00;"от 20";"Фрезы фасочные V образные";"Фрезы для снятия фаски"
4977;"D=19x16x60 S=8 ARDEN арт.151865 Фреза (МДФ, ЛДСП, пластик, дерево) обгонная кромочного типа (нижний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/b4d/b4df19fd61343cb8815c008fc3a277f8.png;ARDEN;151865;19;16;60;8;;;;;1890.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4885;"D=19x19x60 S=12 ARDEN арт.109208B Фреза (для работы по дереву, МДФ, пластику, ЛДСП) для выборки пазов под петли для фрезера ручного";;https://tooldirect.ru/upload/iblock/c25/c252c90ed11d3b9f18e74d27ee7a4b1c.jpg;ARDEN;109208B;19;19;60;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";28000;1650.00;"от 20";"Фрезы для петель и замков";"Фрезы для петель";"Фрезы для петель с подшипником"
5085;"D=19x19x65 S=12 ARDEN арт.206261 Фреза (МДФ, ЛДСП, дерево, пластик) 14гр ""хвост ласточки"" Z=2";;https://tooldirect.ru/upload/iblock/237/237497d2e361f0bc0b24f01832567187.png;ARDEN;206261;19;19;65;12;14;;;;1130.00;"ожидается поступление";"Фрезы ласточкин хвост";"Фрезы ласточкин хвост Z2"
5005;"D=19x25.4x69 d1=12.7 S=8 ARDEN арт.153821 Фреза обгонного типа кромочная с V-образной канавкой Z=2";;https://tooldirect.ru/upload/iblock/add/add028bc04bff87e7b62d8054c5bfb65.png;ARDEN;153821;19;25.4;69;8;;;;;2080.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные с V образной канавкой"
4981;"D=19x50x127 S=12 ARDEN арт.151266B Фреза (дерево, МДФ, ЛДСП, пластик) обгонная кромочная ( 2 нижн. подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/0bf/0bf476e0d6c790aa655bb7a59e98851c.png;ARDEN;151266B;19;50;127;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;3510.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4978;"D=19x70х122 S=12 ARDEN арт.151271-3 Фреза (для работы по дереву, МДФ, ЛДСП, пластику) обгонного типа кромочная (нижний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/5c3/5c3f67ce7f1af54fe4361b37c3b5449e.png;ARDEN;151271-3;19;70;120;12;;;;;4300.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4872;"D=2.5x6x47 S=8 ARDEN арт.107013 Фреза (для обработки дерева, МДФ, пластика, ЛДСП) пазовая прямой формы для ручного фрезера монолитная Z=2";;https://tooldirect.ru/upload/iblock/5c0/5c0b200935e35690b6d0ef6cf27f246e.jpg;ARDEN;107013;2.5;6;47;8;;;;;1440.00;"от 10 до 20";"Фрезы прямые пазовые";"Фрезы прямые монолитные Z2 стальной хвостовик"
4943;"D=20x20x52 S=8 ARDEN арт.110881 Фреза (работа с МДФ, деревом, ЛДСП, пластиком) прямой формы пазового типа для фрезера ручного";;https://tooldirect.ru/upload/iblock/f68/f68f29b2db679a8b7ee93f53da936d37.jpg;ARDEN;110881;20;20;52;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";28000;1400.00;"от 3 до 5";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4944;"D=20x30x70 S=12 ARDEN арт.110285 Фреза (обработка дерева, МДФ, пластика, ЛДСП) формы прямой пазового типа для ручного фрезера";;https://tooldirect.ru/upload/iblock/79f/79f4f905014cd7a67a870a3c529a115f.jpg;ARDEN;110285;20;30;70;12;;;;;2010.00;"от 5 до 10";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4863;"D=20x30x90 S=8 ARDEN арт.105864-1 Фреза (работы с деревом, пластиком, МДФ, ЛДСП) пазовая прямая для ручного фрезера с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/2f7/2f73c63914cee35344c8205089372ff2.png;ARDEN;105864-1;20;30;90;8;;;;;2510.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4864;"D=20x35x90 S=12 ARDEN арт.105269 Фреза (для обработки дерева, пластика, ЛДСП, МДФ) прямой формы пазовая для ручного фрезера с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/dcd/dcd33298583d3340d1e38f29239e2dd4.png;ARDEN;105269;20;35;90;12;;;;;2850.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4945;"D=20x38x78 S=12 ARDEN арт.110286 Фреза (работа с деревом, МДФ, пластиком, ЛДСП) прямой формы типа пазового для ручного фрезера";;https://tooldirect.ru/upload/iblock/63d/63dfac9e0b66bed4da27ea08731ff914.jpg;ARDEN;110286;20;38;78;12;;;;;2200.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4865;"D=20x60x120 S=12 ARDEN арт.105270L Фреза (подходящие материалы: МДФ, ЛДСП, пластик, дерево) прямая пазового типа для ручного фрезера с врезным зубом Z2+1 (длинная серия)";;https://tooldirect.ru/upload/iblock/3ce/3ce76192304fc1d7a41b39779ede7353.png;ARDEN;105270L;20;60;120;12;;;;;4430.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
5004;"D=21x60x106 S=12 ARDEN арт.152240B Фреза (пластик, МДФ, ЛДСП, дерево) кромочная (верхний подшипник) обгонного типа для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/cd9/cd9dbc71e22ba817db3e422071fc0689.png;ARDEN;152240B;21;60;110;12;;;;;3950.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
